NAME                            VERSION  TYPE
@colors/colors                  1.6.0    npm
@dabh/diagnostics               2.0.3    npm
@hapi/hoek                      9.3.0    npm
@hapi/topo                      5.1.0    npm
@mapbox/node-pre-gyp            1.0.11   npm
@mongodb-js/saslprep            1.3.0    npm
@sideway/address                4.1.5    npm
@sideway/formula                3.0.1    npm
@sideway/pinpoint               2.0.0    npm
@types/node                     24.3.1   npm
@types/triple-beam              1.3.5    npm
@types/webidl-conversions       7.0.3    npm
@types/whatwg-url               8.2.2    npm
abbrev                          1.1.1    npm
accepts                         1.3.8    npm
actions/checkout                v1       github-action
actions/checkout                v2       github-action
actions/checkout                v3       github-action  (+1 duplicate)
actions/setup-node              v1       github-action  (+1 duplicate)
actions/setup-node              v3       github-action
actions/upload-artifact         v3       github-action
agent-base                      6.0.2    npm
ansi-regex                      5.0.1    npm
aproba                          2.1.0    npm
are-we-there-yet                2.0.0    npm
array-flatten                   1.1.1    npm
async                           3.2.6    npm
balanced-match                  1.0.2    npm
bcrypt                          5.1.1    npm
body-parser                     1.20.3   npm
brace-expansion                 1.1.12   npm
bson                            5.5.1    npm
bytes                           3.1.2    npm
call-bind-apply-helpers         1.0.2    npm
call-bound                      1.0.4    npm
chownr                          2.0.0    npm
color                           3.2.1    npm
color-convert                   1.9.3    npm
color-name                      1.1.3    npm
color-name                      1.1.4    npm
color-string                    1.9.1    npm
color-support                   1.1.3    npm
colorspace                      1.1.4    npm
concat-map                      0.0.1    npm
console-control-strings         1.1.0    npm
content-disposition             0.5.4    npm
content-type                    1.0.5    npm
cookie                          0.7.1    npm
cookie-signature                1.0.6    npm
cors                            2.8.5    npm
debug                           2.6.9    npm
debug                           4.4.1    npm
delegates                       1.0.0    npm
depd                            2.0.0    npm
destroy                         1.2.0    npm
detect-libc                     2.0.4    npm
dunder-proto                    1.0.1    npm
ee-first                        1.1.1    npm
emoji-regex                     8.0.0    npm
enabled                         2.0.0    npm
encodeurl                       1.0.2    npm
encodeurl                       2.0.0    npm
es-define-property              1.0.1    npm
es-errors                       1.3.0    npm
es-object-atoms                 1.1.1    npm
escape-html                     1.0.3    npm
etag                            1.8.1    npm
express                         4.21.2   npm
express-rate-limit              7.5.1    npm
fecha                           4.2.3    npm
finalhandler                    1.3.1    npm
fn.name                         1.1.0    npm
forwarded                       0.2.0    npm
fresh                           0.5.2    npm
fs-minipass                     2.1.0    npm
fs.realpath                     1.0.0    npm
function-bind                   1.1.2    npm
gauge                           3.0.2    npm
gdpr-customer-api               1.0.0    npm
get-intrinsic                   1.3.0    npm
get-proto                       1.0.1    npm
github/codeql-action/analyze    v2       github-action
github/codeql-action/autobuild  v2       github-action
github/codeql-action/init       v2       github-action
glob                            7.2.3    npm
gopd                            1.2.0    npm
has-symbols                     1.1.0    npm
has-unicode                     2.0.1    npm
hasown                          2.0.2    npm
helmet                          7.2.0    npm
http-errors                     2.0.0    npm
https-proxy-agent               5.0.1    npm
iconv-lite                      0.4.24   npm
